quote|author
There are only two kinds of languages: the ones people complain about and the ones nobody uses.|Bjarne Stroustrup
I have always wished for my computer to be as easy to use as my telephone; my wish has come true because I can no longer figure out how to use my telephone.|Bjarne Stroustrup
C makes it easy to shoot yourself in the foot; C++ makes it harder, but when you do it blows your whole leg off.|Bjarne Stroustrup
It's easy to win forgiveness for being wrong; being right is what gets you into real trouble.|Bjarne Stroustrup
If you think it's simple, then you have misunderstood the problem.|Bjarne Stroustrup
Proof by analogy is fraud.|Bjarne Stroustrup
Design and programming are human activities; forget that and all is lost.|Bjarne Stroustrup
C++ is designed to allow you to express ideas, but if you don't have ideas or don't have any clue about how to express them, C++ doesn't offer much help.|Bjarne Stroustrup
The standard library saves programmers from having to reinvent the wheel.|Bjarne Stroustrup
Hollywood and similar “popular culture” sources of disinformation have assigned largely negative images to programmers. For example, we have all seen the solitary, fat, ugly nerd with no social skills who is obsessed with video games and breaking into other people’s computers. He (almost always a male) is as likely to want to destroy the world as he is to want to save it. Obviously, milder versions of such caricatures exist in real life, but in our experience they are no more frequent among software developers than they are among lawyers, police officers, car salesmen, journalists, artists, or politicians.|Bjarne Stroustrup
Programming is like sex: It may give some concrete results, but that is not why we do it.|Bjarne Stroustrup
Always be suspicious or \"of course\": \"of course\" is not a reason.|Bjarne Stroustrup
